"";"X000000155";"X000000159";"X000000125";"X000000092";"X000000006";"X000000015";"X000000102";"X000000079";"X000000080";"X000000156";"X000000078";"X000000117";"X000000058";"X000000105";"X000000008";"X000000161"
"w02ava005";0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02ava007";2134;1212;580;194;272;7;17;0;15;6;0;6;6;7;6;9
"w02ava008";860;303;71;13;16;35;0;6;0;0;0;0;0;0;0;0
"w02ava009";0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
"w02boy005";0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0
"w02boy007";1804;0;0;0;0;0;11;0;0;0;0;0;0;6;6;0
"w02boy009";1068;0;0;0;0;0;7;0;11;0;0;0;0;0;0;0
"w02boy014";32;2255;0;0;23;0;0;0;0;0;0;11;8;0;0;12
"w02boy020";171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02boy023";99;125;0;42;0;0;0;0;0;0;0;0;0;0;0;0
"w02boy028";0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02car001";0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02car002";40;0;14;0;121;0;0;0;0;0;0;0;0;0;0;0
"w02car003";0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
"w02car007";0;97;0;0;103;0;0;0;0;0;0;0;0;0;0;0
"w02car009";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02car014";56;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02car016";0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0
"w02car017";189;152;33;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02car021";0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
"w02car023";26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02car024";0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02car027";1239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02car029";0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02den001";0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
"w02den011";39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02den028";0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0
"w02fbk006";0;4110;0;0;0;0;0;0;0;0;0;22;17;0;0;12
"w02fbk012";0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
"w02fbk013";13;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02fbk029";0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0
"w02ftm003";0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
"w02ftm007";0;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02ftm011";0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
"w02ftm012";0;31;0;0;0;0;7;0;0;0;0;0;0;0;0;0
"w02ftm018";0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0
"w02ftm020";73;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02ftm021";0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0
"w02ftm028";369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02gpr021";0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0
"w02gpr023";0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
"w02gpr027";60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02hay007";0;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02hay010";20;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02hay015";339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02hay019";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02hay020";0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02hay023";0;7146;0;0;0;0;0;0;0;0;0;40;39;0;0;18
"w02hay028";0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02lov010";2983;0;0;0;0;0;7;15;11;0;7;0;0;9;11;0
"w02lov012";0;2409;0;0;0;0;0;0;0;0;0;11;9;0;0;16
"w02lov016";0;1435;0;0;0;0;0;0;0;0;0;0;6;0;0;7
"w02lov022";0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02mel006";0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
"w02mel015";1044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02mel021";32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02por002";212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"w02por011";0;0;0;0;0;504;0;0;0;0;0;0;0;0;0;0
"w02por013";0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
"w03cad013-miki";0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
"w03cad014-miki";0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0
